SampleID	Status	TotalNumReads	NumUniquelyMappedReads	UniquelyMappedReadsPercentage
C1	C-R	7,293,272	6,044,825	82.88%
C2	C-R	7,870,895	6,526,361	82.92%
C3	C-R	6,622,312	5,620,525	84.87%
C4	C-R	8,248,171	7,041,599	85.37%
C5	C-R	9,233,397	7,922,603	85.80%
C6	C-R	7,156,841	6,140,656	85.80%
C7	C-R	8,130,653	6,858,594	84.35%
C8	C-R	8,374,268	7,298,256	87.15%
C9	C-R	7,637,570	6,504,379	85.16%
C10	C-R	7,110,637	5,885,638	82.77%
C11	C-R	6,848,186	5,824,106	85.05%
C12	C-R	7,093,422	5,976,848	84.26%
C13	C-R	6,609,194	5,525,581	83.60%
C14	C-R	8,330,933	6,986,899	83.87%
C15	C-R	7,620,354	6,510,882	85.44%
C16	C-R	7,365,425	6,222,656	84.48%
C17	C-R	9,045,224	7,435,542	82.20%
C18	C-R	7,105,263	6,173,926	86.89%
C19	C-R	8,346,173	7,032,824	84.26%
C20	C-R	7,786,528	6,693,048	85.96%
C21	C-R	11,070,218	9,545,714	86.23%
C22	C-R	5,636,176	4,752,813	84.33%
C23	C-R	7,344,237	6,119,400	83.32%
C24	C-R	7,389,168	6,166,270	83.45%
C25	C-R	7,023,051	5,955,431	84.80%
C26	C-R	7,799,765	6,661,309	85.40%
C27	C-R	8,827,999	7,634,037	86.48%
C28	C-R	8,161,797	6,876,973	84.26%
C29	C-N	7,646,966	5,784,958	75.65%
C30	C-N	7,382,725	6,330,528	85.75%
C31	C-N	8,429,401	7,308,056	86.70%
C32	C-N	7,649,365	6,471,495	84.60%
C33	C-N	6,335,158	5,350,491	84.46%
C34	C-N	6,891,717	5,709,138	82.84%
C35	C-N	8,340,748	7,187,823	86.18%
C36	C-N	7,315,306	6,017,481	82.26%
C37	C-N	8,203,775	6,991,452	85.22%
C38	C-N	8,505,871	7,105,154	83.53%
C39	C-N	8,491,263	7,259,373	85.49%
C40	C-N	7,630,757	6,124,622	80.26%
C41	C-N	8,724,735	7,454,713	85.44%
C42	C-N	7,672,233	6,663,618	86.85%
C43	C-N	8,401,167	7,147,021	85.07%
C44	C-N	7,116,876	6,046,207	84.96%
C45	C-N	5,791,185	4,802,272	82.92%
C46	C-N	6,715,321	5,721,536	85.20%
C47	C-N	9,147,154	7,901,213	86.38%
C48	C-N	7,820,560	6,747,814	86.28%
C49	C-N	8,047,948	6,857,495	85.21%
C50	C-N	7,215,702	6,066,533	84.07%
C51	C-N	8,048,885	6,949,432	86.34%
C52	C-N	6,955,775	5,502,735	79.11%
C53	C-N	7,002,006	5,271,164	75.28%
C54	C-N	6,274,345	5,195,457	82.80%
C55	C-N	9,586,903	8,247,657	86.03%
C56	C-N	8,328,434	7,122,153	85.52%
C57	C-N	6,820,883	5,725,572	83.94%
C58	C-N	8,798,580	7,656,525	87.02%
C59	C-N	7,772,216	6,245,079	80.35%
C60	C-N	6,514,249	5,296,154	81.30%
C61	C-N	7,857,570	6,793,867	86.46%
C62	C-N	7,322,319	6,158,949	84.11%
C63	C-N	7,570,788	6,382,468	84.30%
C64	C-N	7,458,148	6,442,717	86.38%
C65	C-N	10,165,886	8,612,608	84.72%
C66	C-N	7,355,997	6,413,125	87.18%
C67	C-N	8,561,951	7,258,003	84.77%
C68	C-N	6,459,683	5,333,914	82.57%
C69	C-N	6,047,318	4,679,201	77.38%
C70	C-N	6,628,185	5,665,939	85.48%
C71	C-N	7,935,080	6,688,680	84.29%
C72	C-N	6,392,908	5,296,188	82.84%
C73	C-N	7,846,486	6,495,130	82.78%
C74	C-N	7,677,529	6,546,753	85.27%
C75	C-N	7,578,732	6,479,616	85.50%
C76	C-N	9,298,701	7,706,716	82.88%
C77	C-N	7,986,157	6,793,437	85.07%
C78	C-N	5,873,688	4,867,513	82.87%
C79	C-N	7,804,645	6,651,239	85.22%
C80	C-N	6,103,776	4,900,734	80.29%
C81	C-N	6,968,233	5,516,174	79.16%
C82	C-N	7,802,809	6,445,292	82.60%
C83	C-N	7,288,621	5,502,550	75.50%
C84	C-N	7,764,460	6,500,442	83.72%
C85	C-N	7,283,528	6,229,155	85.52%
C86	C-N	8,761,199	7,287,353	83.18%
C87	C-N	8,296,427	7,121,670	85.84%
C88	C-N	6,965,863	5,885,477	84.49%
C89	C-N	6,536,128	5,514,069	84.36%
C90	C-N	6,532,672	4,995,183	76.46%
C91	C-N	7,377,949	6,212,975	84.21%
C92	C-N	6,490,139	5,229,779	80.58%
C93	C-N	9,183,238	7,910,546	86.14%
C94	C-N	8,961,017	7,675,137	85.65%
C95	C-N	9,025,676	7,600,017	84.20%
C96	C-N	8,148,798	6,940,255	85.17%
N1	N	9,263,850	7,883,088	85.10%
N2	N	8,862,600	7,309,574	82.48%
N3	N	7,524,176	5,704,954	75.82%
N4	N	8,087,304	6,787,790	83.93%
N5	N	9,212,857	7,916,254	85.93%
N6	N	9,459,977	8,084,035	85.46%
N7	N	8,873,306	6,506,505	73.33%
N8	N	9,647,151	7,914,755	82.04%
N9	N	10,720,753	8,372,183	78.09%
N10	N	8,960,995	7,402,048	82.60%
N11	N	10,753,306	7,408,864	68.90%
N12	N	6,838,430	4,927,597	72.06%
N13	N	8,016,497	5,224,664	65.17%
N14	N	7,248,737	5,116,580	70.59%
N15	N	9,317,317	7,675,978	82.38%
N16	N	8,843,226	6,532,444	73.87%
N17	N	8,434,973	6,172,272	73.17%
N18	N	9,288,594	7,687,495	82.76%
N19	N	8,630,942	6,698,816	77.61%
N20	N	9,595,997	7,987,941	83.24%
N21	N	6,312,539	5,105,886	80.88%
N22	N	7,039,294	5,621,452	79.86%
N23	N	8,815,317	7,204,811	81.73%
N24	N	7,331,502	5,925,628	80.82%
N25	N	9,740,427	8,104,113	83.20%
N26	N	7,231,993	5,758,838	79.63%
N27	N	10,230,936	8,327,144	81.39%
N28	N	8,579,794	7,286,744	84.93%
N29	N	10,808,607	8,789,442	81.32%
N30	N	7,312,205	5,604,035	76.64%
N31	N	9,232,461	6,992,056	75.73%
N32	N	8,964,442	7,278,097	81.19%
